0.39	0.34
0.41	2.37
0.59	2.95
0.48	2.55
0.47	2.88
0.46	3.05
0.48	2.82
0.5	2.83
0.6	2.83
0.39	2.59
0.44	2.47
0.41	2.56
0.47	2.68
0.41	2.01
0.46	3.1
0.45	2.84
0.5	3.12
0.51	2.72
0.44	2.84
0.49	2.58
0.51	2.9
0.46	2.44
0.46	2.74
0.39	2.69
0.45	2.88
0.46	2.65
0.31	2.36
0.6	3.04
0.48	2.92
0.48	2.9
0.46	3.1
0.51	2.88
0.49	2.82
0.48	2.74
0.5	2.68
0.62	2.88
0.42	2.81
0.42	2.78
0.46	2.75
0.42	2.52
0.41	2.78
0.57	2.98
0.49	3.22
0.39	3.06
0.36	2.42
0.58	3.1
0.49	2.89
0.46	2.93
0.49	2.99
0.43	3.2
0.4	2.96
0.49	2.63
0.44	2.91
0.49	2.93
0.53	3.26
0.54	2.92
0.43	2.85
0.46	2.88
0.55	3.01
0.45	3.2
0.59	3.21
0.32	2.46
